,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target,date
395,25400540.0,170.16,172.3,169.26,25938760.0,170.52,170.59,169.22,16412270.0,171.0,171.85,170.48,172.53,01/03/18
396,35951900.0,113.85,113.99,112.44,34494150.0,113.05,114.12,112.51,46937190.0,115.19,116.18,113.25,114.35,09/22/16
397,35055820.0,360.08,365.98,360.0,32661520.0,353.25,362.17,351.28,51314210.0,364.41,365.32,353.02,365.12,07/01/20
398,21555370.0,138.78,139.83,138.59,26170690.0,140.0,140.28,138.76,36362440.0,137.89,140.15,137.6,139.37,03/06/17
399,18457720.0,216.6,216.9,215.11,18505780.0,214.65,217.05,214.6,18965930.0,214.1,216.36,213.84,217.15,08/27/18
400,38681170.0,215.83,223.25,214.7,28751540.0,219.79,223.36,218.94,32874330.0,218.06,221.26,217.43,222.6,10/24/18
401,34324350.0,112.31,114.7,112.31,27049830.0,110.86,112.43,110.6,29976030.0,109.26,111.19,109.16,113.29,12/12/16
402,20929310.0,205.79,206.5,202.36,18582160.0,204.0,205.88,203.7,14107450.0,204.05,205.09,203.27,203.65,07/22/19
403,48748670.0,280.0,288.25,278.05,32755730.0,268.31,273.7,265.83,40529120.0,268.7,270.07,264.7,282.4,04/15/20
404,69032740.0,282.23,282.65,278.56,24626950.0,279.5,281.18,278.95,29024690.0,279.8,281.9,279.12,280.53,12/23/19
405,38190550.0,315.36,319.75,314.61,20028450.0,324.74,325.98,322.85,23686890.0,324.19,326.22,323.35,320.0,02/19/20
406,55622370.0,93.79,94.52,92.39,133059000.0,96.04,96.63,93.34,71937310.0,99.93,100.88,98.07,94.79,01/29/16
407,31538710.0,100.78,101.76,100.4,35890740.0,102.39,102.83,100.96,46026600.0,102.37,103.75,101.37,101.31,03/09/16
408,33570380.0,123.38,123.91,122.55,44371580.0,123.09,123.61,122.12,42090320.0,125.32,125.74,123.9,123.15,07/29/15
409,41662940.0,347.9,354.77,346.09,36928090.0,332.14,345.61,332.01,23913630.0,330.25,333.6,327.32,349.31,06/11/20
410,42747950.0,117.33,119.35,117.12,32445680.0,119.27,119.73,117.34,34135230.0,119.2,119.92,118.85,119.21,11/25/15
411,31203580.0,275.87,281.75,274.87,29264340.0,273.61,277.9,272.2,45247890.0,276.28,277.25,265.43,277.2,04/24/20
412,26296260.0,108.23,108.94,108.01,28010430.0,107.52,108.37,107.16,39546610.0,106.27,107.65,106.18,108.71,08/10/16
413,22342650.0,172.54,173.47,172.08,29461040.0,172.53,174.55,171.96,25400540.0,170.16,172.3,169.26,173.44,01/05/18
414,25897340.0,207.86,208.55,203.53,26066130.0,205.86,207.19,205.06,46882840.0,209.43,212.05,201.0,204.1,08/28/19
415,28507780.0,110.78,112.03,110.07,27054320.0,111.43,112.47,111.39,11475920.0,111.13,111.87,110.95,111.6,11/30/16
416,20544600.0,177.81,178.82,176.88,26575010.0,176.49,178.94,176.41,21561320.0,175.03,176.19,174.83,174.95,04/19/18
417,45970470.0,129.08,129.62,128.31,35987630.0,127.74,128.57,127.35,33559770.0,125.72,127.15,125.58,130.97,07/20/15
418,63712340.0,115.66,116.49,113.72,37080720.0,116.25,116.54,115.44,43218350.0,115.93,116.53,114.42,112.21,09/18/15
419,26204670.0,153.21,154.13,152.0,21983410.0,153.89,154.28,152.7,25402270.0,153.8,154.72,153.54,154.26,10/02/17
420,35474680.0,170.4,171.92,169.02,45968040.0,171.66,171.79,167.0,61759000.0,165.0,170.09,163.33,170.49,12/13/18
421,34394830.0,105.52,106.47,104.96,38236730.0,104.61,106.31,104.59,40026250.0,103.96,105.18,103.85,106.34,03/18/16
422,37425640.0,167.88,168.94,164.47,38116290.0,167.81,171.75,166.9,41464880.0,167.25,170.02,165.19,167.64,04/03/18
423,62800770.0,110.27,113.28,109.9,84757780.0,113.76,114.02,109.77,54507300.0,111.65,112.56,110.32,111.79,09/11/15
424,40122100.0,173.63,174.17,172.46,20442740.0,172.4,173.13,171.65,23402510.0,172.5,173.54,172.0,174.88,12/18/17
425,46937190.0,115.19,116.18,113.25,79763890.0,115.12,116.13,114.04,90398170.0,113.86,115.73,113.49,113.05,09/20/16
426,24336440.0,114.31,114.56,113.51,28508710.0,113.7,114.34,113.13,21400410.0,113.4,113.66,112.69,115.02,10/10/16
427,22052920.0,144.49,146.11,143.16,24725210.0,145.01,146.16,143.62,25674500.0,147.17,148.28,145.38,144.71,06/29/17
428,18383080.0,188.0,189.27,186.91,18083080.0,187.19,187.81,186.13,17014490.0,188.0,188.91,186.36,188.38,05/22/18
429,33391990.0,289.17,293.69,286.32,60154180.0,286.25,299.0,285.85,45765970.0,289.96,294.53,288.35,295.06,05/05/20
430,16243080.0,155.81,156.73,155.49,17223790.0,154.97,155.49,154.56,21215870.0,154.18,155.44,154.05,156.06,10/10/17
431,25247630.0,289.93,293.68,289.52,36059610.0,289.46,292.69,285.22,36592940.0,291.12,293.97,288.12,296.24,01/02/20
432,24592460.0,207.36,209.1,206.67,23389530.0,207.28,209.78,207.2,22493750.0,206.05,207.81,204.52,207.7,08/13/18
433,23686890.0,324.19,326.22,323.35,28432570.0,321.47,327.22,321.47,23580780.0,323.6,323.9,318.71,324.74,02/14/20
434,19782170.0,160.43,160.74,158.55,19376940.0,159.07,160.47,158.88,21564890.0,158.23,160.0,158.02,159.65,08/25/17
435,26892850.0,153.38,153.98,152.63,33520150.0,151.27,153.34,151.13,50674280.0,153.6,154.57,149.71,154.0,05/22/17
436,35626020.0,117.88,118.17,117.13,35041820.0,116.79,117.44,115.72,37512930.0,117.35,117.98,116.75,117.33,10/17/16
437,30386830.0,112.73,112.75,111.44,52720620.0,110.0,112.28,109.49,61747260.0,110.19,110.19,108.21,110.82,10/13/15
438,32728460.0,107.4,107.72,106.45,47507230.0,107.28,107.37,105.57,96197190.0,108.91,109.52,105.81,107.27,12/23/15
439,18463850.0,206.83,207.76,205.12,17427570.0,207.36,208.48,207.05,23286380.0,204.43,207.75,203.9,204.9,04/26/19
440,21158140.0,217.73,220.13,217.56,39763300.0,220.0,220.79,217.02,32226670.0,224.8,226.42,222.86,219.96,09/17/19
441,41976500.0,162.13,167.26,161.84,35617230.0,164.0,164.33,160.63,27850370.0,164.12,165.73,163.37,166.41,05/01/18
442,32503750.0,277.95,281.68,276.85,53812480.0,284.69,286.95,276.86,39281290.0,287.38,288.2,282.35,276.28,04/21/20
443,45713690.0,219.19,219.69,206.09,47191700.0,215.9,220.19,212.67,29027340.0,217.71,221.38,216.75,211.15,10/30/18
444,37781330.0,249.54,255.93,249.16,34790520.0,247.24,249.17,237.26,31130520.0,244.76,245.3,241.21,257.33,11/04/19
445,37034520.0,110.37,110.94,109.03,36151450.0,111.6,112.2,110.27,28507780.0,110.78,112.03,110.07,109.17,12/02/16
446,46882840.0,209.43,212.05,201.0,22267820.0,213.19,214.44,210.75,21564750.0,212.99,213.65,211.6,205.86,08/26/19
447,20088940.0,153.63,153.86,152.46,16216800.0,154.01,155.09,153.91,18631540.0,154.26,154.45,152.72,154.18,10/05/17
448,35421310.0,145.13,147.16,145.11,19082170.0,145.77,146.7,145.12,21247590.0,145.52,146.07,144.61,147.17,06/26/17
449,28449940.0,150.27,153.39,150.05,32018540.0,150.85,151.27,149.22,26924630.0,152.88,153.7,151.51,153.08,01/16/19
450,25817590.0,261.13,264.78,261.07,21847230.0,261.55,262.79,260.92,20507460.0,258.3,262.47,258.28,263.75,11/14/19
451,45034370.0,151.29,154.53,149.63,40622910.0,149.56,151.82,148.52,54571440.0,148.7,148.83,145.9,152.5,01/10/19
452,22267820.0,213.19,214.44,210.75,21564750.0,212.99,213.65,211.6,26919530.0,210.88,213.35,210.32,209.43,08/23/19
453,24900130.0,106.62,107.44,106.29,27744300.0,107.41,107.95,106.31,25001730.0,107.39,107.88,106.68,105.8,08/30/16
454,64827330.0,209.88,215.31,209.23,45751160.0,203.06,203.4,199.11,22010360.0,204.4,205.97,203.86,209.84,05/02/19
455,39992120.0,222.6,224.23,214.54,38681170.0,215.83,223.25,214.7,28751540.0,219.79,223.36,218.94,217.71,10/25/18
456,42288790.0,95.92,96.35,94.1,44282560.0,94.29,95.94,93.93,53920550.0,93.13,95.7,93.04,93.79,02/11/16
457,17427570.0,207.36,208.48,207.05,23286380.0,204.43,207.75,203.9,17841920.0,202.83,204.94,202.34,206.83,04/25/19
458,50264540.0,143.78,144.5,142.2,31642900.0,143.32,144.48,142.21,31454590.0,147.5,147.5,143.84,143.66,06/19/17
459,33671250.0,127.98,129.39,127.78,111837300.0,127.03,130.49,127.01,47767760.0,121.15,121.39,120.62,128.31,02/03/17
460,36884490.0,100.58,101.71,100.45,33136130.0,100.51,100.89,99.64,50303500.0,97.65,100.77,97.42,102.37,03/04/16
